Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
any23,1988,44,24,438,28904,99,8507,5,1,0
apex-core,6122,82,21,485,75427,139,24966,9,3,0
aries,5817,56,485,2065,164201,757,58504,52,3,0
avro,2929,283,85,678,81025,305,45192,6,1,0
bookkeeper,2549,159,39,2179,246415,636,106445,159,3,8
brooklyn,221,33,13,3279,352360,1414,159650,30,2,1
bval,1103,15,12,346,23785,112,5545,1,1,0
calcite,4759,372,66,2233,596695,373,206313,1,1,0
carbondata,4916,261,36,1149,149238,138,24823,36,1,0
cayenne,6733,66,45,4178,294111,1715,116051,118,3,2
chainsaw,934,9,35,189,26358,8,621,0,0,0
chemistry-opencmis,2234,16,37,1267,142441,181,30008,4,1,1
clerezza,2324,27,20,243,14982,50,4909,1,1,0
cocoon,13161,73,75,2535,196085,168,9788,5,2,0
commons-bcel,1753,37,25,516,41342,87,4178,0,0,0
creadur-whisker,488,7,1,107,5453,48,2634,0,0,0
ws-axiom,4684,35,67,3510,136617,2749,104633,10,2,0
