Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
any23,1997,44,25,438,28904,99,8507,5,1,1
apex-core,6122,82,21,485,75427,139,24966,9,3,2
archiva,8670,48,65,968,120362,283,47520,41,3,39
aries,5817,56,485,2065,164201,757,58504,52,3,14
avro,2929,283,85,678,81025,305,45192,6,1,0
axis-axis2-java-core,13844,84,45,4588,552062,2827,346496,8,3,9
beam,33462,1035,125,5008,647216,1956,329409,287,6,14
bigtop,2715,181,33,204,9378,71,3759,0,0,0
bookkeeper,2553,160,40,2180,246558,637,106551,159,3,14
brooklyn,221,33,13,3279,352360,1414,159650,30,2,16
bval,1103,15,12,346,23785,112,5545,1,1,0
calcite,4759,372,66,2233,596695,373,206313,1,1,8
camel,53496,1079,185,20760,1574022,11064,624059,447,10,147
carbondata,4916,261,36,1149,149238,138,24823,36,1,0
cassandra,27013,473,270,3201,498962,1098,216814,8,1,6
cayenne,6733,66,45,4178,294111,1715,116051,118,3,92
chainsaw,934,9,35,189,26358,8,621,0,0,0
chemistry-opencmis,2234,16,37,1267,142441,181,30008,4,1,1
chukwa,854,20,25,469,43078,117,9727,1,1,3
clerezza,2324,27,20,243,14982,50,4909,1,1,0
click,5009,13,54,461,47903,106,7477,0,0,11
cloudstack,34625,585,147,5825,683694,682,94784,355,7,29
cocoon,13161,73,75,2535,196085,168,9788,5,2,12
commons-bcel,1753,37,25,516,41342,87,4178,0,0,0
ws-axiom,4684,35,67,3510,136617,2749,104633,10,2,1
