Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
creadur-tentacles,167,8,0,32,1549,2,34,0,0,0
myfaces-tobago,11802,27,127,809,47491,100,6343,0,0,0
synapse,4242,49,14,1294,103920,317,16820,0,0,0
syncope,7655,60,105,2788,220448,306,39653,34,3,0
tajo,2275,53,15,1860,224332,307,51665,2,1,0
tapestry-5,5623,50,146,3277,168138,1353,53494,25,1,1
tez,2879,69,42,1153,194055,295,86839,104,1,0
thrift,6472,524,24,275,23877,85,8398,3,1,0
tika,5675,145,64,1472,147426,418,42573,3,1,0
tiles,1465,16,27,291,15768,121,9788,67,1,0
