Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
directory-fortress-commander,415,6,23,94,17009,3,883,0,0,0
directory-fortress-core,1887,16,24,325,77118,80,39675,0,0,0
directory-fortress-enmasse,405,8,24,20,5383,2,193,0,0,0
directory-fortress-realm,323,9,23,10,819,0,0,0,0,0
empire-db,1237,13,43,489,56215,29,2419,2,1,1
etch,549,13,8,422,56337,156,27254,0,0,0
falcon,2227,59,31,850,122438,293,54341,25,1,2
flink,28863,1408,126,12369,1401026,4742,686472,228,6,85
flume,1818,73,23,743,97434,282,44187,47,2,12
fluo-recipes,194,4,5,96,7031,39,3104,1,1,4
fluo-yarn,24,3,1,3,289,0,0,0,0,0
fluo,1002,34,11,291,27642,85,10021,1,1,0
forrest,9184,40,30,252,18173,12,668,0,0,0
freemarker,2295,34,39,850,92318,285,33449,2,2,1
ftpserver,977,13,12,329,20716,121,7699,0,0,3
geode,10721,201,33,9004,1379326,4373,743078,933,4,16
geronimo,13137,61,35,3516,259046,1047,53786,19,1,48
giraph,1136,47,11,1516,94617,204,17414,18,1,5
gora,1387,70,17,617,49592,193,10778,0,0,4
groovy,19024,425,219,1771,198693,340,13668,3,1,8
xmlgraphics-fop,8396,44,45,2052,216944,421,40206,68,1,1
